f_hz,pitch_deg,airspeed,mean_Fx,mean_Fz,mean_Pin,mean_sep_ratio,csv
3.4000000000000004,12.0,5.0,-0.36886762449029803,3.987975816819856,22.328850645470812,0.18393264929139355,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch12p000_U5p000/windtunnel_v50.csv
3.4000000000000004,12.0,6.0,-0.5092126916343492,5.535863390732906,25.685051332544802,0.13115719995120667,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch12p000_U6p000/windtunnel_v50.csv
3.4000000000000004,12.0,7.0,-0.7123963063308636,7.454573339866266,29.395486489218296,0.09227140948051464,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch12p000_U7p000/windtunnel_v50.csv
3.4000000000000004,12.0,8.0,-0.9975000149832891,9.780083536736212,33.164767822169075,0.0644965075028235,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch12p000_U8p000/windtunnel_v50.csv
3.4000000000000004,13.0,5.0,-0.49225076548230184,4.2738219109676905,22.302843341887716,0.18958512420991092,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch13p000_U5p000/windtunnel_v50.csv
3.4000000000000004,13.0,6.0,-0.6746031749383041,5.9413698142922255,25.600345326801417,0.1372477782386868,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch13p000_U6p000/windtunnel_v50.csv
3.4000000000000004,13.0,7.0,-0.9299745030671025,7.999911358749148,29.188246597981152,0.09947721087417541,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch13p000_U7p000/windtunnel_v50.csv
3.4000000000000004,13.0,8.0,-1.2710102107336965,10.496082796705474,32.81161967856277,0.0719092168350896,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch13p000_U8p000/windtunnel_v50.csv
3.4000000000000004,14.0,5.0,-0.6239767082984361,4.555199731992936,22.274618038538236,0.19555745258529253,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch14p000_U5p000/windtunnel_v50.csv
3.4000000000000004,14.0,6.0,-0.8544586180161985,6.3305326573130625,25.49010994907523,0.14484361897753492,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch14p000_U6p000/windtunnel_v50.csv
3.4000000000000004,14.0,7.0,-1.161272828023888,8.535642696151777,28.981158149391728,0.1068879626259949,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch14p000_U7p000/windtunnel_v50.csv
3.4000000000000004,14.0,8.0,-1.5614654963246937,11.19783813428593,32.46283833763421,0.07951777862491356,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch14p000_U8p000/windtunnel_v50.csv
3.4000000000000004,15.0,5.0,-0.7641882253130253,4.828692388193908,22.247094341369024,0.20199574230373457,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch15p000_U5p000/windtunnel_v50.csv
3.4000000000000004,15.0,6.0,-1.0429862862305106,6.716939362626328,25.39369309875563,0.15197214060866443,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch15p000_U6p000/windtunnel_v50.csv
3.4000000000000004,15.0,7.0,-1.409287588876947,9.050917116094915,28.744236081963006,0.11543502672507369,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch15p000_U7p000/windtunnel_v50.csv
3.4000000000000004,15.0,8.0,-1.8712774747477092,11.875228277342934,32.08666451172688,0.08794047859327725,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch15p000_U8p000/windtunnel_v50.csv
3.6000000000000005,10.0,5.0,-0.08421906790383035,3.0369018896372038,25.188577552740156,0.1841128886706973,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch10p000_U5p000/windtunnel_v50.csv
