amp,delta,rel_Tbar,rel_Lbar,rel_Pinbar,rel_eta,rel_sep_ratio,rel_peak_power,rel_peak_normal,rel_share_suction,rel_share_Na
0.160000,0.440000,-0.009260,-0.001447,-0.005581,-0.014923,0.003409,-0.015910,-0.008280,-0.000109,-0.005228
0.160000,0.460000,-0.006274,-0.001105,-0.003737,-0.010049,0.002558,-0.010620,-0.005525,-0.000072,-0.004356
0.160000,0.480000,-0.003109,-0.000646,-0.001886,-0.005004,0.001416,-0.005317,-0.002765,-0.000036,-0.002619
0.160000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.160000,0.520000,0.003845,0.000682,0.001868,0.005703,-0.001884,0.005333,0.002770,0.000036,0.002959
0.160000,0.540000,0.006967,0.001280,0.003694,0.010622,-0.003228,0.010684,0.005546,0.000071,0.006841
0.160000,0.560000,0.009531,0.001755,0.005498,0.014947,-0.004062,0.016054,0.008253,0.000106,0.011655
0.160000,0.580000,0.012626,0.002341,0.007287,0.019769,-0.005371,0.021446,0.011038,0.000141,0.017410
0.160000,0.600000,0.014732,0.002832,0.009065,0.023582,-0.005973,0.026859,0.013827,0.000176,0.024116
0.160000,0.620000,0.017544,0.003503,0.010849,0.028088,-0.007263,0.032295,0.016204,0.000210,0.031784
0.160000,0.640000,0.019931,0.004047,0.012582,0.032109,-0.008112,0.037754,0.018986,0.000244,0.040421
0.160000,0.660000,0.022508,0.004667,0.014311,0.036299,-0.009187,0.043236,0.021770,0.000278,0.050040
0.160000,0.680000,0.024843,0.005339,0.016050,0.040247,-0.010213,0.048741,0.024557,0.000311,0.060653
0.160000,0.700000,0.027820,0.006210,0.017802,0.044824,-0.011923,0.054268,0.026534,0.000344,0.072273
0.180000,0.300000,-0.032724,-0.002796,-0.021110,-0.054994,0.008045,-0.054655,-0.030825,-0.000419,0.023815
0.180000,0.320000,-0.028161,-0.002437,-0.018941,-0.048012,0.006351,-0.049115,-0.027751,-0.000376,0.017925
0.180000,0.340000,-0.023924,-0.002023,-0.016762,-0.041380,0.004747,-0.043623,-0.024679,-0.000333,0.012726
0.180000,0.360000,-0.020585,-0.001823,-0.014630,-0.035738,0.003991,-0.038169,-0.021607,-0.000291,0.008259
0.180000,0.380000,-0.017222,-0.001455,-0.012462,-0.030058,0.002973,-0.032740,-0.018533,-0.000249,0.004560
0.180000,0.400000,-0.014180,-0.001213,-0.010336,-0.024772,0.002353,-0.027327,-0.015458,-0.000206,0.001661
0.180000,0.420000,-0.011824,-0.001257,-0.008285,-0.020277,0.002582,-0.021917,-0.012380,-0.000165,-0.000412
0.180000,0.440000,-0.008196,-0.000761,-0.006148,-0.014433,0.001264,-0.016500,-0.009297,-0.000123,-0.001634
0.180000,0.460000,-0.005098,-0.000467,-0.004068,-0.009204,0.000569,-0.011066,-0.006209,-0.000082,-0.001985
0.180000,0.480000,-0.002063,-0.000232,-0.002033,-0.004104,0.000013,-0.005606,-0.003115,-0.000041,-0.001445
0.180000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.180000,0.520000,0.002708,0.000293,0.002036,0.004735,-0.000451,0.005810,0.003143,0.000040,0.002363
0.180000,0.540000,0.006078,0.000780,0.004055,0.010092,-0.001564,0.011652,0.006293,0.000081,0.005657
0.180000,0.560000,0.009851,0.001569,0.006137,0.015891,-0.003377,0.017525,0.009450,0.000121,0.009891
0.180000,0.580000,0.013625,0.002303,0.008169,0.021618,-0.005094,0.023432,0.012614,0.000160,0.015074
0.180000,0.600000,0.016710,0.002946,0.010185,0.026623,-0.006289,0.029372,0.015786,0.000200,0.021214
0.180000,0.620000,0.019775,0.003604,0.012175,0.031566,-0.007494,0.035348,0.018965,0.000239,0.028318
0.180000,0.640000,0.022457,0.004204,0.014127,0.036074,-0.008389,0.041358,0.022151,0.000277,0.036397
0.180000,0.660000,0.025220,0.004866,0.016087,0.040653,-0.009422,0.047405,0.025344,0.000316,0.045453
0.180000,0.680000,0.027965,0.005637,0.018049,0.045198,-0.010617,0.053489,0.027495,0.000354,0.055498
0.180000,0.700000,0.031183,0.006621,0.020036,0.050213,-0.012408,0.059609,0.030625,0.000392,0.066540
0.200000,0.300000,-0.045202,-0.004862,-0.023361,-0.070203,0.016541,-0.063079,-0.031205,-0.000462,0.030514
0.200000,0.320000,-0.041245,-0.004502,-0.020991,-0.063571,0.015323,-0.056954,-0.027772,-0.000415,0.026301
0.200000,0.340000,-0.036703,-0.004243,-0.018716,-0.056475,0.014023,-0.050738,-0.025291,-0.000368,0.019615
0.200000,0.360000,-0.031608,-0.003668,-0.016296,-0.048697,0.011887,-0.044522,-0.021698,-0.000322,0.013967
0.200000,0.380000,-0.026217,-0.003143,-0.013928,-0.040712,0.009687,-0.038284,-0.018569,-0.000275,0.009187
0.200000,0.400000,-0.022152,-0.002793,-0.011593,-0.034141,0.008468,-0.032024,-0.016460,-0.000229,0.005303
0.200000,0.420000,-0.017598,-0.002358,-0.009271,-0.027120,0.006879,-0.025739,-0.012978,-0.000182,0.002341
0.200000,0.440000,-0.013250,-0.001749,-0.006918,-0.020308,0.005144,-0.019430,-0.009495,-0.000137,0.000388
0.200000,0.460000,-0.008451,-0.001174,-0.004599,-0.013111,0.003233,-0.012992,-0.007021,-0.000091,-0.000600
0.200000,0.480000,-0.004684,-0.000756,-0.002333,-0.007034,0.002123,-0.006502,-0.003515,-0.000045,-0.000736
0.200000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.520000,0.004351,0.000607,0.002273,0.006609,-0.001693,0.006515,0.003523,0.000045,0.001627
0.200000,0.540000,0.007957,0.001251,0.004565,0.012465,-0.003036,0.013045,0.007054,0.000090,0.004157
0.200000,0.560000,0.010676,0.001569,0.006762,0.017321,-0.003376,0.019593,0.010593,0.000135,0.007603
0.200000,0.580000,0.014566,0.002302,0.009036,0.023390,-0.004981,0.026160,0.014141,0.000179,0.011974
0.200000,0.600000,0.017569,0.002829,0.011233,0.028483,-0.005776,0.032747,0.017697,0.000223,0.017276
0.200000,0.620000,0.020418,0.003331,0.013419,0.033389,-0.006437,0.039356,0.021261,0.000267,0.023516
0.200000,0.640000,0.023782,0.004021,0.015606,0.038783,-0.007652,0.045988,0.024833,0.000311,0.030697
0.200000,0.660000,0.027397,0.004797,0.017794,0.044401,-0.009126,0.052642,0.028414,0.000354,0.038823
0.200000,0.680000,0.030596,0.005638,0.019991,0.049595,-0.010471,0.059319,0.032003,0.000397,0.047899
0.200000,0.700000,0.033836,0.006477,0.022159,0.054780,-0.011823,0.066017,0.035599,0.000440,0.057926
